date,code,rank,brand,product,price,like
20260323,7057518,159,대웅제약,"""미미미누 비타민"" [선물포장] 대웅제약 활력충전 비타민 에너씨슬 퍼펙트샷 이뮨+ (10+2입 증정) /고함량 밀크씨슬 피로케어 직장인선물",29900,9154
20260323,12875967,160,CJ웰케어,"""편안한 밤 필수템"" ""식물성 멜라토닌 5mg"" 멜라메이트 트리플액션 맥스 1박스 30정 (수험생 직장인 선물 추천)",20900,23
20260323,5763429,161,나우푸드,나우푸드 마그네슘 350mg 90정 (3개월분),24000,761
20260323,7352724,162,익스트림,"""직장인 활력선물"" 익스트림 김종국 트리플아르기닌 6200 (15포) + 선물포장",23900,1209
20260323,11929870,163,종근당,"""빠른 단백질 충전!"" 아미코어 프로틴샷 12병 1박스 단백질 아미노산 비타민",23800,556
20260323,12572944,164,동국제약,동국제약 마이핏 프리미엄 마시는 액상 알부민 골드 14포 4박스 (총 56포)+쇼핑백+행운부적 키링 증정,24900,3782
20260323,6326961,165,센트룸,[센트룸] 맛있는 멀티 비타민 미네랄 멀티구미 (80구미) x 2통,48000,5660
20260323,2922935,166,퍼니트,"""에너지부스터"" 고함량 L-아르기닌 파워업 6000 2박스 (30포)",19900,1086
20260323,12860441,167,한끼통살,[한끼통살] 한끼통살 맛보기 닭가슴살 21일 식단관리,29900,152
20260323,7596632,168,종근당건강,비타민D 2000IU+아연 3개월분 1박스 부모님 직장인 건강,12900,2912
20260323,696636,169,GNM자연의품격,"""간건강 챙기세요!"" GNM 건강한 간 밀크씨슬 선물세트 1박스(총 6개월분) / 간건강 실리마린 비타민B",33900,3208
20260323,10044107,170,파지티브호텔,"""산도 0.1"" [파지티브호텔] 지중해 올리브오일 캡슐 쿠파주 (1box / 2캡슐, 30포)",32000,1281
20260323,2374870,171,고려은단,"""대한민국 1등"" 고려은단 비타민C 1000 600정 (20개월분)",41900,3257
20260323,4537549,172,다신샵,"""식사대용 프로틴"" 단백질18g 고단백쉐이크 단백한끼 5종 5+5팩",21900,2071
20260323,7450806,173,랩노쉬,"""고단백 간식 추천"" [랩노쉬] 단백쿠키 20개입 (4종혼합/더블초코/피넛버터/아몬드앤그린티/리치코코넛)",21900,1070
